model,arm,checkpoint,probe_name,layer,formal_cell_available,formal_source,formal_protocol,existing_sample_factor_path,can_reuse_existing_pt_profile,missing_per_sample_information,status
qwen,opd,20,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,20,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,20,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,20,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,40,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,40,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,40,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,40,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,80,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,80,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
