task,model,arm,checkpoint,probe_name,layer,formal_source,input_path,input_sha256,protocol_id,has_spectrum,has_sample_factors,has_centered,sample_count,status,blocker_reason
RR1A,qwen,opd,20,E_general,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,5b1a9a23cf65c7c818a122832aedea3945ef73cf3ccd154d095843bf54c18a45,D4.1_current_merged_state,True,False,False,128,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,20,E_math,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.direction.pt,315f71d862ec97fdf20c4d9c1dad53cc8cdeffe1e5bf907d0bd78e63e8806738,D4.1_current_merged_state,True,False,False,500,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,20,E_ood,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.direction.pt,117da86fe713c76d5fac8c7c4d792ad3321f03ebeb108b09ae4a6f1bdcfba89d,D4.1_current_merged_state,True,False,False,128,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,20,E_if,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.direction.pt,030ae39fdd5b04acd5fb06a01b813403bf2307534d369ede70e7869e1812e879,D4.1_current_merged_state,True,False,False,541,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,40,E_general,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.direction.pt,3e4ec9805892009451b3b919c3069389e57c79ce6a542ef1452869fd4a14cccd,D4.1_current_merged_state,True,False,False,128,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,40,E_math,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.direction.pt,1e757d3f2f86ce3979204f8028e84ce5a960a6e33ec2bc7dcfdeaf9ddb889567,D4.1_current_merged_state,True,False,False,500,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,40,E_ood,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.direction.pt,764b0d078d1bc098fae094273627985a176988a50dad2805da71f2df9904b341,D4.1_current_merged_state,True,False,False,128,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,40,E_if,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.direction.pt,d04108801a9b117bfd96875dc0e333d1d25a1b8e22b2a0cdcf3f4ee3e6eb93b2,D4.1_current_merged_state,True,False,False,541,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,80,E_general,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.direction.pt,d8fae6e375cb366802ab73207c0be2b14d7295fb0d115406f5718a86bf7205e7,D4.1_current_merged_state,True,False,False,128,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
RR1A,qwen,opd,80,E_math,18,qwen_d4_merged_state,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.direction.pt,45c5f08905a5ae73f044102e0076596badbee12fe303a1c762f70e376b942215,D4.1_current_merged_state,True,False,False,500,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,missing formal per-sample factor bundle; new forward required for exact sample bootstrap
